LOC,CC,PC,Is_Long_Parameter_List
130,38,6,TRUE
73,13,10,TRUE
6,2,6,TRUE
48,17,5,TRUE
9,5,6,TRUE
20,8,7,TRUE
24,12,7,TRUE
40,5,6,TRUE
38,5,5,TRUE
23,10,5,TRUE
0,1,14,TRUE
26,5,5,TRUE
7,2,9,TRUE
90,15,5,TRUE
24,4,8,TRUE
4,2,8,TRUE
22,3,8,TRUE
596,117,5,TRUE
21,3,6,TRUE
41,7,5,TRUE
0,1,15,TRUE
0,1,18,TRUE
0,1,24,TRUE
22,3,6,TRUE
34,3,5,TRUE
66,15,5,TRUE
28,6,6,TRUE
85,25,8,TRUE
30,9,5,TRUE
93,24,5,TRUE
59,14,5,TRUE
61,14,5,TRUE
19,6,5,TRUE
33,11,7,TRUE
58,19,9,TRUE
55,9,8,TRUE
66,18,5,TRUE
56,13,5,TRUE
148,39,5,TRUE
13,6,5,TRUE
43,13,5,TRUE
11,4,5,TRUE
28,7,5,TRUE
12,3,7,TRUE
70,20,6,TRUE
106,27,5,TRUE
53,15,5,TRUE
88,23,5,TRUE
99,24,7,TRUE
82,17,5,TRUE
63,14,7,TRUE
154,45,6,TRUE
5,2,5,TRUE
42,11,5,TRUE
38,9,6,TRUE
22,3,5,TRUE
101,36,5,TRUE
59,21,5,TRUE
23,5,5,TRUE
74,24,5,TRUE
40,18,5,TRUE
38,14,5,TRUE
47,14,5,TRUE
11,4,6,TRUE
61,20,5,TRUE
41,15,7,TRUE
18,5,5,TRUE
63,29,5,TRUE
154,55,5,TRUE
37,2,5,TRUE
6,1,8,TRUE
48,11,5,TRUE
143,43,5,TRUE
33,7,5,TRUE
32,9,8,TRUE
31,7,6,TRUE
17,3,7,TRUE
37,7,5,TRUE
6,2,9,TRUE
23,4,9,TRUE
4,2,9,TRUE
3,1,13,TRUE
38,8,5,TRUE
25,4,12,TRUE
59,18,5,TRUE
65,10,9,TRUE
23,3,5,TRUE
7,1,8,TRUE
126,32,9,TRUE
14,4,7,TRUE
50,6,6,TRUE
13,1,7,TRUE
60,20,7,TRUE
8,3,7,TRUE
34,9,5,TRUE
16,5,5,TRUE
28,6,5,TRUE
58,18,8,TRUE
34,8,5,TRUE
47,13,5,TRUE
48,12,7,TRUE
45,16,7,TRUE
45,9,6,TRUE
76,9,5,TRUE
17,6,9,TRUE
47,10,7,TRUE
52,11,7,TRUE
47,8,14,TRUE
66,14,8,TRUE
47,9,9,TRUE
67,16,5,TRUE
75,23,5,TRUE
11,2,7,TRUE
2,1,14,TRUE
2,1,9,TRUE
11,5,5,TRUE
55,15,5,TRUE
13,1,9,TRUE
54,9,6,TRUE
16,4,6,TRUE
58,12,5,TRUE
31,6,8,TRUE
50,10,9,TRUE
78,14,5,TRUE
75,11,6,TRUE
10,2,7,TRUE
40,7,25,TRUE
3,1,15,TRUE
6,2,18,TRUE
26,5,13,TRUE
3,1,12,TRUE
3,1,24,TRUE
55,9,16,TRUE
14,1,16,TRUE
16,1,16,TRUE
49,14,5,TRUE
52,25,7,TRUE
213,43,9,TRUE
195,38,8,TRUE
7,3,5,TRUE
71,22,5,TRUE
27,8,5,TRUE
36,8,6,TRUE
15,4,8,TRUE
11,3,7,TRUE
7,4,5,TRUE
69,20,5,TRUE
26,4,7,TRUE
36,7,9,TRUE
25,8,10,TRUE
95,25,5,TRUE
8,1,9,TRUE
7,2,10,TRUE
14,6,6,TRUE
24,5,5,TRUE
25,7,5,TRUE
8,2,8,TRUE
18,6,5,TRUE
71,19,6,TRUE
36,10,6,TRUE
94,29,7,TRUE
128,37,5,TRUE
32,11,5,TRUE
23,8,5,TRUE
38,11,5,TRUE
32,9,6,TRUE
24,3,11,TRUE
40,8,13,TRUE
24,7,14,TRUE
13,5,5,TRUE
17,5,6,TRUE
21,7,5,TRUE
76,24,5,TRUE
33,9,5,TRUE
112,42,5,TRUE
83,15,8,TRUE
66,17,5,TRUE
59,17,5,TRUE
37,10,5,TRUE
21,7,7,TRUE
44,14,6,TRUE
16,2,5,TRUE
55,19,5,TRUE
168,41,7,TRUE
160,27,5,TRUE
50,15,5,TRUE
20,4,5,TRUE
116,30,5,TRUE
73,16,7,TRUE
47,15,6,TRUE
72,26,5,TRUE
74,17,7,TRUE
74,23,5,TRUE
50,11,5,TRUE
71,12,6,TRUE
40,11,5,TRUE
121,27,7,TRUE
12,1,10,TRUE
3,1,14,TRUE
52,4,6,TRUE
54,6,11,TRUE
21,1,6,TRUE
64,11,5,TRUE
78,15,5,TRUE
38,7,8,TRUE
41,8,8,TRUE
23,10,6,TRUE
34,8,6,TRUE
41,11,5,TRUE
31,4,5,TRUE
66,19,7,TRUE
33,6,7,TRUE
12,7,5,TRUE
34,14,5,TRUE
10,6,5,TRUE
15,1,6,TRUE
63,13,5,TRUE
28,3,5,TRUE
62,15,6,TRUE
15,2,10,TRUE
4,1,11,TRUE
5,1,8,TRUE
21,6,5,TRUE
46,14,6,TRUE
38,11,6,TRUE
43,12,5,TRUE
98,26,6,TRUE
58,16,7,TRUE
124,26,5,TRUE
56,14,5,TRUE
27,4,5,TRUE
94,14,6,TRUE
27,8,6,TRUE
30,5,5,TRUE
39,11,6,TRUE
55,13,5,TRUE
31,9,6,TRUE
23,7,7,TRUE
19,6,7,TRUE
28,8,5,TRUE
42,10,9,TRUE
43,10,9,TRUE
30,7,9,TRUE
31,7,9,TRUE
7,1,9,TRUE
20,6,6,TRUE
43,18,6,TRUE
27,3,5,TRUE
25,1,5,TRUE
33,5,5,TRUE
15,1,16,TRUE
86,17,5,TRUE
7,1,11,TRUE
16,3,13,TRUE
41,6,5,TRUE
172,21,6,TRUE
39,7,6,TRUE
81,11,11,TRUE
28,4,11,TRUE
163,32,13,TRUE
32,3,8,TRUE
40,3,5,TRUE
47,9,8,TRUE
402,63,11,TRUE
63,4,5,TRUE
26,3,5,TRUE
103,18,8,TRUE
15,2,9,TRUE
60,8,5,TRUE
35,4,6,TRUE
15,3,7,TRUE
70,6,14,TRUE
111,18,5,TRUE
51,4,5,TRUE
57,14,9,TRUE
115,20,7,TRUE
55,9,6,TRUE
47,11,5,TRUE
25,5,5,TRUE
35,3,5,TRUE
31,1,5,TRUE
13,2,6,TRUE
59,9,5,TRUE
104,22,6,TRUE
47,9,5,TRUE
56,12,5,TRUE
24,2,7,TRUE
15,4,7,TRUE
19,3,7,TRUE
76,12,6,TRUE
42,8,6,TRUE
111,8,6,TRUE
175,20,6,TRUE
69,10,6,TRUE
13,1,15,TRUE
37,6,7,TRUE
6,1,15,TRUE
154,37,6,TRUE
144,34,6,TRUE
304,70,6,TRUE
35,4,5,TRUE
76,14,5,TRUE
68,7,5,TRUE
85,10,5,TRUE
28,4,14,TRUE
26,7,5,TRUE
18,1,7,TRUE
12,4,6,TRUE
89,17,5,TRUE
37,5,6,TRUE
26,1,6,TRUE
23,2,6,TRUE
64,5,6,TRUE
131,17,6,TRUE
97,17,6,TRUE
56,6,6,TRUE
133,15,8,TRUE
70,3,13,TRUE
34,5,6,TRUE
36,6,8,TRUE
19,1,5,TRUE
27,5,7,TRUE
149,26,5,TRUE
146,24,5,TRUE
31,3,5,TRUE
61,13,5,TRUE
258,32,5,TRUE
15,1,12,TRUE
78,15,8,TRUE
30,6,7,TRUE
44,10,5,TRUE
34,3,7,TRUE
105,10,6,TRUE
56,9,6,TRUE
11,2,8,TRUE
27,7,7,TRUE
115,14,6,TRUE
32,3,7,TRUE
28,5,6,TRUE
15,4,6,TRUE
46,6,5,TRUE
121,31,7,TRUE
49,14,7,TRUE
37,5,5,TRUE
30,3,5,TRUE
72,11,7,TRUE
44,10,8,TRUE
96,14,6,TRUE
192,35,6,TRUE
105,15,5,TRUE
31,8,6,TRUE
72,15,7,TRUE
18,4,6,TRUE
33,5,6,TRUE
121,19,5,TRUE
28,7,7,TRUE
24,3,5,TRUE
34,5,5,TRUE
180,23,6,TRUE
23,4,5,TRUE
15,2,5,TRUE
191,36,5,TRUE
58,12,7,TRUE
28,7,6,TRUE
13,2,5,TRUE
32,6,5,TRUE
9,1,8,TRUE
40,4,6,TRUE
27,6,8,TRUE
52,8,6,TRUE
89,17,6,TRUE
22,4,5,TRUE
28,13,5,TRUE
14,5,6,TRUE
45,11,5,TRUE
26,5,12,TRUE
194,31,7,TRUE
114,19,8,TRUE
29,9,8,TRUE
124,22,9,TRUE
77,11,5,TRUE
109,21,5,TRUE
15,3,8,TRUE
107,12,6,TRUE
409,86,10,TRUE
80,13,5,TRUE
51,5,10,TRUE
52,10,5,TRUE
17,1,14,TRUE
22,1,20,TRUE
21,4,8,TRUE
212,43,27,TRUE
249,55,19,TRUE
60,13,8,TRUE
602,134,11,TRUE
48,12,6,TRUE
17,1,9,TRUE
88,19,6,TRUE
30,4,5,TRUE
23,2,5,TRUE
96,18,5,TRUE
31,10,6,TRUE
67,8,6,TRUE
51,11,10,TRUE
141,22,5,TRUE
28,2,6,TRUE
536,98,8,TRUE
36,11,5,TRUE
77,18,6,TRUE
35,10,7,TRUE
846,90,7,TRUE
31,5,8,TRUE
26,4,5,TRUE
10,4,8,TRUE
50,8,5,TRUE
152,5,6,TRUE
169,7,6,TRUE
23,8,6,TRUE
56,12,6,TRUE
18,3,6,TRUE
89,21,5,TRUE
165,42,7,TRUE
101,24,5,TRUE
88,18,8,TRUE
7,1,10,TRUE
55,3,7,TRUE
60,17,5,TRUE
15,2,14,TRUE
30,4,11,TRUE
63,9,5,TRUE
195,26,16,TRUE
20,4,8,TRUE
16,2,6,TRUE
51,13,8,TRUE
183,40,7,TRUE
67,10,5,TRUE
26,3,6,TRUE
34,10,7,TRUE
122,23,17,TRUE
79,16,11,TRUE
62,15,12,TRUE
18,3,9,TRUE
51,9,5,TRUE
38,7,5,TRUE
65,12,5,TRUE
52,9,5,TRUE
45,7,5,TRUE
42,9,5,TRUE
29,4,5,TRUE
59,10,5,TRUE
42,7,5,TRUE
51,8,5,TRUE
32,5,5,TRUE
132,25,5,TRUE
61,11,9,TRUE
47,8,12,TRUE
51,15,6,TRUE
98,15,5,TRUE
19,2,6,TRUE
3,1,17,TRUE
4,1,17,TRUE
56,9,5,TRUE
16,3,6,TRUE
23,3,7,TRUE
34,6,7,TRUE
41,9,7,TRUE
31,3,7,TRUE
16,2,7,TRUE
26,3,7,TRUE
45,5,7,TRUE
25,4,6,TRUE
20,4,7,TRUE
21,6,6,TRUE
17,2,7,TRUE
23,2,7,TRUE
20,5,7,TRUE
21,5,7,TRUE
4,1,18,TRUE
84,18,5,TRUE
153,19,7,TRUE
25,2,13,TRUE
37,4,5,TRUE
45,10,9,TRUE
57,8,5,TRUE
50,11,9,TRUE
126,29,7,TRUE
150,31,5,TRUE
55,18,5,TRUE
31,4,8,TRUE
97,22,7,TRUE
53,8,5,TRUE
13,1,5,TRUE
49,16,5,TRUE
39,8,7,TRUE
152,36,7,TRUE
57,11,13,TRUE
35,5,5,TRUE
79,19,5,TRUE
70,14,5,TRUE
34,11,5,TRUE
4,1,13,TRUE
14,4,6,TRUE
63,14,6,TRUE
98,21,6,TRUE
69,21,6,TRUE
12,3,6,TRUE
20,4,6,TRUE
239,68,8,TRUE
10,2,8,TRUE
9,1,10,TRUE
21,5,15,TRUE
14,2,13,TRUE
36,9,5,TRUE
28,6,7,TRUE
10,1,9,TRUE
53,1,6,TRUE
60,1,7,TRUE
25,6,11,TRUE
110,27,7,TRUE
59,14,7,TRUE
24,6,7,TRUE
31,7,7,TRUE
40,10,5,TRUE
64,12,9,TRUE
211,30,6,TRUE
13,4,7,TRUE
47,7,7,TRUE
63,4,7,TRUE
128,7,7,TRUE
49,9,6,TRUE
8,1,10,TRUE
87,17,5,TRUE
61,4,9,TRUE
19,1,9,TRUE
17,3,11,TRUE
18,3,11,TRUE
16,3,11,TRUE
29,14,11,TRUE
22,6,11,TRUE
27,3,11,TRUE
25,3,11,TRUE
42,6,11,TRUE
71,17,5,TRUE
215,40,7,TRUE
64,11,7,TRUE
80,19,6,TRUE
217,40,7,TRUE
93,11,5,TRUE
134,21,5,TRUE
21,8,7,TRUE
24,9,7,TRUE
5,2,8,TRUE
120,8,6,TRUE
125,8,6,TRUE
58,5,6,TRUE
66,7,6,TRUE
12,4,9,TRUE
80,29,5,TRUE
84,29,6,TRUE
37,14,5,TRUE
38,14,6,TRUE
50,12,10,TRUE
67,24,5,TRUE
32,10,6,TRUE
53,3,6,TRUE
14,1,9,TRUE
19,8,5,TRUE
120,29,7,TRUE
15,6,5,TRUE
13,1,11,TRUE
21,5,6,TRUE
34,10,6,TRUE
12,1,14,TRUE
26,6,9,TRUE
27,4,13,TRUE
15,1,13,TRUE
34,6,5,TRUE
20,2,6,TRUE
81,16,7,TRUE
38,8,8,TRUE
51,12,16,TRUE
56,11,11,TRUE
23,4,11,TRUE
39,8,8,TRUE
23,5,7,TRUE
37,9,5,TRUE
219,68,5,TRUE
142,26,5,TRUE
59,5,5,TRUE
73,8,7,TRUE
25,5,6,TRUE
59,13,5,TRUE
69,18,5,TRUE
29,9,5,TRUE
68,18,5,TRUE
17,1,6,TRUE
17,1,8,TRUE
71,15,5,TRUE
36,6,5,TRUE
67,13,5,TRUE
69,10,8,TRUE
38,4,5,TRUE
108,19,6,TRUE
79,18,6,TRUE
98,14,6,TRUE
45,13,5,TRUE
60,15,7,TRUE
66,16,7,TRUE
75,15,6,TRUE
23,6,8,TRUE
36,11,6,TRUE
69,14,5,TRUE
24,8,6,TRUE
22,2,6,TRUE
26,8,5,TRUE
70,7,6,TRUE
37,13,6,TRUE
10,3,6,TRUE
47,2,7,TRUE
30,4,6,TRUE
109,27,5,TRUE
31,4,6,TRUE
24,6,6,TRUE
2,1,8,TRUE
18,3,8,TRUE
15,2,6,TRUE
16,1,10,TRUE
81,39,5,TRUE
50,15,8,TRUE
50,15,9,TRUE
50,15,7,TRUE
18,7,5,TRUE
0,1,27,TRUE
27,7,5,TRUE
20,5,6,TRUE
57,7,6,TRUE
48,8,7,TRUE
9,4,9,TRUE
9,4,8,TRUE
41,5,9,TRUE
21,10,6,TRUE
3,2,6,TRUE
14,3,9,TRUE
50,8,8,TRUE
131,29,8,TRUE
35,7,8,TRUE
69,19,6,TRUE
5,1,10,TRUE
50,12,5,TRUE
33,13,6,TRUE
40,9,5,TRUE
36,12,6,TRUE
38,9,5,TRUE
31,11,6,TRUE
58,10,7,TRUE
49,13,6,TRUE
44,5,9,TRUE
71,15,7,TRUE
71,11,7,TRUE
72,13,6,TRUE
73,31,5,TRUE
47,7,5,TRUE
40,6,5,TRUE
39,15,6,TRUE
51,12,7,TRUE
19,5,6,TRUE
19,2,5,TRUE
50,14,7,TRUE
18,5,6,TRUE
49,7,7,TRUE
24,5,6,TRUE
37,12,6,TRUE
22,4,6,TRUE
60,42,7,TRUE
13,3,8,TRUE
46,1,6,TRUE
45,11,6,TRUE
62,17,5,TRUE
101,27,7,TRUE
30,3,6,TRUE
37,8,5,TRUE
44,6,18,TRUE
16,10,5,TRUE
10,6,6,TRUE
12,1,9,TRUE
13,2,9,TRUE
91,32,19,TRUE
33,14,5,TRUE
19,5,11,TRUE
19,2,9,TRUE
10,5,8,TRUE
35,7,6,TRUE
10,8,7,TRUE
35,5,8,TRUE
36,4,5,TRUE
82,18,9,TRUE
7,4,6,TRUE
22,7,11,TRUE
13,5,6,TRUE
39,10,5,TRUE
32,6,6,TRUE
8,3,6,TRUE
41,5,5,TRUE
25,7,7,TRUE
58,11,5,TRUE
45,15,6,TRUE
36,10,5,TRUE
90,19,5,TRUE
57,13,5,TRUE
43,13,6,TRUE
64,21,5,TRUE
54,8,5,TRUE
32,4,5,TRUE
95,20,5,TRUE
73,16,5,TRUE
20,3,5,TRUE
90,31,6,TRUE
107,35,5,TRUE
74,26,5,TRUE
9,4,5,TRUE
35,14,5,TRUE
35,11,5,TRUE
95,23,5,TRUE
117,29,5,TRUE
52,8,5,TRUE
125,30,6,TRUE
48,8,5,TRUE
28,4,5,TRUE
58,14,5,TRUE
42,10,5,TRUE
83,32,13,TRUE
63,21,7,TRUE
25,2,12,TRUE
21,9,9,TRUE
81,17,10,TRUE
84,31,6,TRUE
33,3,8,TRUE
23,6,10,TRUE
24,6,11,TRUE
138,39,5,TRUE
32,4,6,TRUE
36,6,6,TRUE
34,9,7,TRUE
46,10,7,TRUE
28,20,17,TRUE
49,19,7,TRUE
53,12,8,TRUE
13,4,6,TRUE
39,8,6,TRUE
129,20,6,TRUE
59,8,7,TRUE
62,8,7,TRUE
23,2,8,TRUE
12,1,7,TRUE
16,7,5,TRUE
36,13,5,TRUE
77,36,8,TRUE
34,4,5,TRUE
83,27,5,TRUE
33,13,7,TRUE
323,34,8,TRUE
29,10,10,TRUE
57,18,11,TRUE
12,5,5,TRUE
52,14,10,TRUE
70,20,13,TRUE
33,4,5,TRUE
13,5,9,TRUE
54,15,8,TRUE
16,4,9,TRUE
134,26,6,TRUE
21,3,8,TRUE
5,3,10,TRUE
91,26,9,TRUE
54,7,9,TRUE
148,18,9,TRUE
109,24,8,TRUE
16,3,7,TRUE
62,14,9,TRUE
20,3,9,TRUE
35,10,8,TRUE
39,4,5,TRUE
16,6,11,TRUE
58,13,10,TRUE
7,4,9,TRUE
97,32,5,TRUE
9,2,7,TRUE
36,12,5,TRUE
54,11,5,TRUE
34,17,9,TRUE
25,12,5,TRUE
97,34,12,TRUE
12,5,10,TRUE
35,9,5,TRUE
27,8,9,TRUE
21,5,12,TRUE
76,15,5,TRUE
53,11,7,TRUE
23,7,6,TRUE
39,9,5,TRUE
63,16,6,TRUE
49,15,6,TRUE
9,4,6,TRUE
33,10,6,TRUE
46,2,6,TRUE
19,2,7,TRUE
10,5,5,TRUE
33,3,6,TRUE
23,1,6,TRUE
37,1,5,TRUE
79,30,5,TRUE
51,5,6,TRUE
27,2,9,TRUE
